devis_id;date_emission;mois;exercice;client_id;type_client;agence;commercial;categorie;code_prestation;libelle_prestation;quantite;montant_ht;statut;date_decision;delai_1ere_relance_j;nb_relances
DEV-00674;2023-10-18;2023-10;2023-2024;CLI-0205;Professionnel;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;8409.16;Sans réponse;2023-11-01;;0
DEV-00675;2023-10-19;2023-10;2023-2024;CLI-0195;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-002;Entretien annuel chaudière;2;330.48;Sans réponse;2023-11-04;2;2
DEV-00676;2023-10-19;2023-10;2023-2024;CLI-0272;Professionnel;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;1;371.95;Accepté;2023-11-17;15;2
DEV-00677;2023-10-20;2023-10;2023-2024;CLI-0342;Particulier;Toulouse;Julien Fabre;Dépannage;DP-002;Débouchage canalisation;1;413.78;Accepté;2023-11-25;3;2
DEV-00678;2023-10-20;2023-10;2023-2024;CLI-0197;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-001;Rénovation salle de bain complète;1;9332.25;Refusé;2023-11-15;7;3
DEV-00679;2023-10-20;2023-10;2023-2024;CLI-0079;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1288.4;Accepté;2023-11-15;8;1
DEV-00680;2023-10-20;2023-10;2023-2024;CLI-0016;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;10884.23;Sans réponse;2023-11-03;11;1
DEV-00681;2023-10-23;2023-10;2023-2024;CLI-0274;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-004;Remplacement colonne d'évacuation;1;5563.15;Accepté;2023-11-07;;0
DEV-00682;2023-10-23;2023-10;2023-2024;CLI-0261;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-002;Remplacement baignoire par douche;1;4082.21;Accepté;2023-10-27;4;1
DEV-00683;2023-10-23;2023-10;2023-2024;CLI-0364;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1344.69;Accepté;2023-11-11;;0
DEV-00684;2023-10-24;2023-10;2023-2024;CLI-0353;Particulier;Toulouse;Julien Fabre;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2469.1;Refusé;2023-11-19;4;2
DEV-00685;2023-10-24;2023-10;2023-2024;CLI-0273;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-002;Entretien annuel chaudière;1;165.95;Accepté;2023-11-04;1;2
DEV-00686;2023-10-25;2023-10;2023-2024;CLI-0305;Particulier;Toulouse;Julien Fabre;Dépannage;DP-002;Débouchage canalisation;1;336.78;Refusé;2023-11-03;4;1
DEV-00687;2023-10-25;2023-10;2023-2024;CLI-0120;Particulier;Toulouse;Julien Fabre;Dépannage;DP-001;Dépannage plomberie urgence;1;243.82;Accepté;2023-11-20;3;1
DEV-00688;2023-10-26;2023-10;2023-2024;CLI-0139;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;273.83;Accepté;2023-11-14;7;2
DEV-00689;2023-10-26;2023-10;2023-2024;CLI-0297;Professionnel;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;5352.04;Sans réponse;2023-11-17;10;1
DEV-00690;2023-10-26;2023-10;2023-2024;CLI-0243;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-003;Rénovation électrique complète;1;13834.87;Sans réponse;2023-12-02;8;2
DEV-00691;2023-10-27;2023-10;2023-2024;CLI-0349;Particulier;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;1;256.42;Accepté;2023-12-10;3;2
DEV-00692;2023-10-30;2023-10;2023-2024;CLI-0287;Particulier;Toulouse;Nadia Cherif;Dépannage;DP-002;Débouchage canalisation;1;388.93;Accepté;2023-11-10;1;1
DEV-00693;2023-10-30;2023-10;2023-2024;CLI-0018;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2491.43;Refusé;2023-12-09;4;1
DEV-00694;2023-10-30;2023-10;2023-2024;CLI-0016;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;1;3429.32;Accepté;2023-11-20;1;2
DEV-00695;2023-10-31;2023-10;2023-2024;CLI-0331;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;301.25;Accepté;2023-12-01;1;4
DEV-00696;2023-10-31;2023-10;2023-2024;CLI-0011;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;4435.72;Accepté;2023-11-22;11;2
DEV-00697;2023-11-01;2023-11;2023-2024;CLI-0023;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-002;Remplacement baignoire par douche;1;4090.04;Accepté;2023-11-23;11;1
DEV-00698;2023-11-01;2023-11;2023-2024;CLI-0042;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;281.4;Accepté;2023-11-26;4;2
DEV-00699;2023-11-01;2023-11;2023-2024;CLI-0255;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-005;Désembouage circuit chauffage;1;723.39;Accepté;2023-11-25;5;1
DEV-00700;2023-11-01;2023-11;2023-2024;CLI-0214;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-001;Rénovation salle de bain complète;1;10864.16;Refusé;2023-11-14;;0
DEV-00701;2023-11-02;2023-11;2023-2024;CLI-0309;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1177.9;Refusé;2023-11-07;;0
DEV-00702;2023-11-02;2023-11;2023-2024;CLI-0153;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-004;Remise en service chaudière;1;229.09;Sans réponse;2023-12-02;6;3
DEV-00703;2023-11-03;2023-11;2023-2024;CLI-0083;Collectivité;Toulouse;Nadia Cherif;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;2903.75;Refusé;2023-11-11;;0
DEV-00704;2023-11-06;2023-11;2023-2024;CLI-0071;Particulier;Toulouse;Julien Fabre;Chauffage;CH-001;Installation chaudière gaz condensation;1;5220.54;Accepté;2023-11-24;1;2
DEV-00705;2023-11-06;2023-11;2023-2024;CLI-0368;Collectivité;Toulouse;Julien Fabre;Salle de bain;SB-002;Remplacement baignoire par douche;1;8319.18;Accepté;2023-11-11;14;0
DEV-00706;2023-11-06;2023-11;2023-2024;CLI-0138;Particulier;Toulouse;Nadia Cherif;Dépannage;DP-001;Dépannage plomberie urgence;1;294.29;Accepté;2023-11-20;2;2
DEV-00707;2023-11-07;2023-11;2023-2024;CLI-0095;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;1;3335.03;Sans réponse;2023-12-02;;0
DEV-00708;2023-11-07;2023-11;2023-2024;CLI-0201;Particulier;Toulouse;Julien Fabre;Plomberie;PR-004;Remplacement colonne d'évacuation;1;6226.95;Sans réponse;2023-12-03;4;2
DEV-00709;2023-11-07;2023-11;2023-2024;CLI-0002;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1190.87;Accepté;2023-11-23;3;1
DEV-00710;2023-11-08;2023-11;2023-2024;CLI-0199;Particulier;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;1;243.4;Sans réponse;2023-11-17;13;0
DEV-00711;2023-11-08;2023-11;2023-2024;CLI-0069;Professionnel;Toulouse;Nadia Cherif;Électricité;EL-001;Mise aux normes tableau électrique;1;3376.78;Accepté;2023-12-28;5;2
DEV-00712;2023-11-08;2023-11;2023-2024;CLI-0223;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-001;Mise aux normes tableau électrique;1;1790.22;Accepté;2023-11-24;6;2
DEV-00713;2023-11-09;2023-11;2023-2024;CLI-0128;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-003;Réfection réseau eau appartement;1;3262.55;Refusé;2023-12-06;1;2
DEV-00714;2023-11-09;2023-11;2023-2024;CLI-0171;Syndic;Toulouse;Nadia Cherif;Électricité;EL-002;Installation borne de recharge VE;1;2836.35;Refusé;2023-11-17;9;0
DEV-00715;2023-11-10;2023-11;2023-2024;CLI-0149;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2667.66;Accepté;2023-12-10;7;1
DEV-00716;2023-11-10;2023-11;2023-2024;CLI-0087;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;14014.1;Accepté;2023-12-20;8;2
DEV-00717;2023-11-13;2023-11;2023-2024;CLI-0116;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;242.95;Accepté;2023-12-09;4;3
DEV-00718;2023-11-13;2023-11;2023-2024;CLI-0176;Professionnel;Toulouse;Nadia Cherif;Électricité;EL-004;Éclairage LED locaux professionnels;1;6625.34;Sans réponse;2023-11-20;2;1
DEV-00719;2023-11-13;2023-11;2023-2024;CLI-0093;Professionnel;Bordeaux;Karim Belkacem;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;2379.57;Refusé;2023-11-23;;0
DEV-00720;2023-11-14;2023-11;2023-2024;CLI-0183;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;4911.68;Accepté;2023-12-07;1;2
DEV-00721;2023-11-14;2023-11;2023-2024;CLI-0008;Particulier;Toulouse;Julien Fabre;Dépannage;DP-001;Dépannage plomberie urgence;1;301.25;Accepté;2023-12-04;6;3
DEV-00722;2023-11-14;2023-11;2023-2024;CLI-0230;Professionnel;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;6631.03;Accepté;2023-12-07;;0
DEV-00723;2023-11-15;2023-11;2023-2024;CLI-0016;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;3348.18;Sans réponse;2023-12-04;5;2
DEV-00724;2023-11-16;2023-11;2023-2024;CLI-0270;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;1;4115.24;Refusé;2023-12-13;9;2
DEV-00725;2023-11-17;2023-11;2023-2024;CLI-0305;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-001;Installation chaudière gaz condensation;1;5458.96;Refusé;2023-12-12;;0
DEV-00726;2023-11-17;2023-11;2023-2024;CLI-0320;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-003;Réfection réseau eau appartement;1;3368.27;Accepté;2023-12-12;9;3
DEV-00727;2023-11-17;2023-11;2023-2024;CLI-0130;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;9416.14;Sans réponse;2023-11-24;8;0
DEV-00728;2023-11-20;2023-11;2023-2024;CLI-0245;Professionnel;Toulouse;Julien Fabre;Dépannage;DP-002;Débouchage canalisation;1;610.14;Accepté;2023-12-16;2;3
DEV-00729;2023-11-21;2023-11;2023-2024;CLI-0269;Particulier;Toulouse;Nadia Cherif;Électricité;EL-001;Mise aux normes tableau électrique;1;1665.24;Sans réponse;2024-01-03;7;2
DEV-00730;2023-11-21;2023-11;2023-2024;CLI-0066;Professionnel;Toulouse;Julien Fabre;Électricité;EL-001;Mise aux normes tableau électrique;1;2692.32;Refusé;2023-11-30;;0
DEV-00731;2023-11-21;2023-11;2023-2024;CLI-0107;Particulier;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;1;216.82;Sans réponse;2023-12-25;;0
DEV-00732;2023-11-22;2023-11;2023-2024;CLI-0181;Professionnel;Toulouse;Nadia Cherif;Chauffage;CH-001;Installation chaudière gaz condensation;1;9325.4;Accepté;2023-12-07;5;1
DEV-00733;2023-11-22;2023-11;2023-2024;CLI-0154;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;2;7554.05;Refusé;2023-12-02;4;1
DEV-00734;2023-11-22;2023-11;2023-2024;CLI-0329;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;683.07;Accepté;2023-11-29;16;0
DEV-00735;2023-11-23;2023-11;2023-2024;CLI-0259;Professionnel;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;529.99;Refusé;2024-01-01;8;1
DEV-00736;2023-11-23;2023-11;2023-2024;CLI-0089;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-001;Mise aux normes tableau électrique;1;1992.1;Accepté;2023-12-05;4;1
DEV-00737;2023-11-24;2023-11;2023-2024;CLI-0037;Particulier;Toulouse;Julien Fabre;Dépannage;DP-003;Dépannage électrique urgence;1;318.31;Accepté;2024-01-06;6;3
DEV-00738;2023-11-24;2023-11;2023-2024;CLI-0323;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-003;Réfection réseau eau appartement;1;2915.37;Refusé;2023-11-30;;0
DEV-00739;2023-11-24;2023-11;2023-2024;CLI-0038;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-002;Entretien annuel chaudière;1;168.83;Refusé;2023-12-17;4;1
DEV-00740;2023-11-27;2023-11;2023-2024;CLI-0375;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2609.77;Refusé;2023-12-28;6;1
DEV-00741;2023-11-27;2023-11;2023-2024;CLI-0251;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;14243.18;Accepté;2023-12-26;2;4
DEV-00742;2023-11-28;2023-11;2023-2024;CLI-0045;Syndic;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;7045.78;Sans réponse;2023-12-23;3;3
DEV-00743;2023-11-28;2023-11;2023-2024;CLI-0210;Particulier;Toulouse;Julien Fabre;Plomberie;PR-003;Réfection réseau eau appartement;1;3598.75;Accepté;2023-12-11;4;2
DEV-00744;2023-11-29;2023-11;2023-2024;CLI-0284;Professionnel;Toulouse;Nadia Cherif;Salle de bain;SB-002;Remplacement baignoire par douche;1;5784.03;Refusé;2023-12-15;7;2
DEV-00745;2023-11-30;2023-11;2023-2024;CLI-0317;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2879.32;Refusé;2023-12-23;14;1
DEV-00746;2023-11-30;2023-11;2023-2024;CLI-0190;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-005;Désembouage circuit chauffage;1;710.52;Accepté;2023-12-17;8;1
DEV-00747;2023-12-01;2023-12;2023-2024;CLI-0124;Particulier;Toulouse;Nadia Cherif;Plomberie;PR-004;Remplacement colonne d'évacuation;2;11559.67;Accepté;2023-12-25;7;1
DEV-00748;2023-12-01;2023-12;2023-2024;CLI-0342;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;9528.57;Refusé;2023-12-07;10;0
DEV-00749;2023-12-01;2023-12;2023-2024;CLI-0067;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-003;Rénovation électrique complète;1;15592.02;Sans réponse;2023-12-22;6;2
DEV-00750;2023-12-04;2023-12;2023-2024;CLI-0025;Syndic;Bordeaux;Sophie Marchand;Chauffage;CH-005;Désembouage circuit chauffage;1;1525.05;Accepté;2023-12-27;9;1
DEV-00751;2023-12-05;2023-12;2023-2024;CLI-0218;Syndic;Bordeaux;Karim Belkacem;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;32561.58;Refusé;2024-01-05;1;3
DEV-00752;2023-12-05;2023-12;2023-2024;CLI-0293;Professionnel;Toulouse;Nadia Cherif;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;2187.99;Refusé;2023-12-27;;0
DEV-00753;2023-12-05;2023-12;2023-2024;CLI-0386;Collectivité;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;3;1997.4;Accepté;2023-12-20;4;2
DEV-00754;2023-12-05;2023-12;2023-2024;CLI-0386;Collectivité;Bordeaux;Karim Belkacem;Électricité;EL-003;Rénovation électrique complète;1;23875.73;Refusé;2023-12-20;3;2
DEV-00755;2023-12-06;2023-12;2023-2024;CLI-0156;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;5642.53;Sans réponse;2023-12-14;11;0
DEV-00756;2023-12-06;2023-12;2023-2024;CLI-0044;Syndic;Bordeaux;Karim Belkacem;Dépannage;DP-004;Remise en service chaudière;1;494.69;Accepté;2023-12-15;15;0
DEV-00757;2023-12-06;2023-12;2023-2024;CLI-0244;Professionnel;Bordeaux;Sophie Marchand;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;3796.6;Accepté;2024-01-07;2;1
DEV-00758;2023-12-06;2023-12;2023-2024;CLI-0230;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-001;Mise aux normes tableau électrique;1;3278.4;Accepté;2023-12-26;10;2
DEV-00759;2023-12-07;2023-12;2023-2024;CLI-0204;Particulier;Toulouse;Nadia Cherif;Plomberie;PR-003;Réfection réseau eau appartement;1;3531.56;Refusé;2024-01-08;13;2
DEV-00760;2023-12-07;2023-12;2023-2024;CLI-0288;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;11824.34;Refusé;2024-01-07;12;1
DEV-00761;2023-12-07;2023-12;2023-2024;CLI-0254;Particulier;Toulouse;Nadia Cherif;Plomberie;PR-002;Recherche de fuite + réparation;1;385.46;Accepté;2024-01-02;4;3
DEV-00762;2023-12-08;2023-12;2023-2024;CLI-0320;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1375.58;Accepté;2024-01-12;9;2
DEV-00763;2023-12-08;2023-12;2023-2024;CLI-0182;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-004;Éclairage LED locaux professionnels;1;5121.94;Refusé;2024-01-04;13;1
DEV-00764;2023-12-11;2023-12;2023-2024;CLI-0254;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;13461.35;Sans réponse;2023-12-16;6;0
DEV-00765;2023-12-11;2023-12;2023-2024;CLI-0288;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;496.21;Sans réponse;2023-12-26;;0
DEV-00766;2023-12-12;2023-12;2023-2024;CLI-0045;Syndic;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;585.68;Sans réponse;2023-12-25;7;1
DEV-00767;2023-12-12;2023-12;2023-2024;CLI-0176;Professionnel;Toulouse;Julien Fabre;Chauffage;CH-001;Installation chaudière gaz condensation;1;7915.51;Sans réponse;2024-01-12;2;1
DEV-00768;2023-12-13;2023-12;2023-2024;CLI-0028;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-002;Remplacement baignoire par douche;1;4202.91;Sans réponse;2024-01-21;13;1
DEV-00769;2023-12-13;2023-12;2023-2024;CLI-0175;Particulier;Toulouse;Nadia Cherif;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1247.54;Sans réponse;2024-01-11;;0
DEV-00770;2023-12-14;2023-12;2023-2024;CLI-0294;Professionnel;Toulouse;Nadia Cherif;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;2438.32;Accepté;2023-12-24;1;1
DEV-00771;2023-12-14;2023-12;2023-2024;CLI-0351;Syndic;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;20075.18;Refusé;2023-12-30;5;1
DEV-00772;2023-12-14;2023-12;2023-2024;CLI-0091;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-005;Désembouage circuit chauffage;1;690.93;Sans réponse;2024-01-02;;0
DEV-00773;2023-12-14;2023-12;2023-2024;CLI-0363;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-004;Remplacement radiateurs (lot de 5);2;4698.05;Refusé;2023-12-25;10;1
DEV-00774;2023-12-15;2023-12;2023-2024;CLI-0167;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-002;Entretien annuel chaudière;1;158.95;Accepté;2024-01-12;5;3
DEV-00775;2023-12-15;2023-12;2023-2024;CLI-0170;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;8721.41;Refusé;2024-01-08;8;3
DEV-00776;2023-12-15;2023-12;2023-2024;CLI-0035;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-003;Pose meuble vasque + robinetterie;2;2789.36;Accepté;2024-01-14;8;2
DEV-00777;2023-12-15;2023-12;2023-2024;CLI-0170;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1113.65;Sans réponse;2024-01-17;;0
DEV-00778;2023-12-18;2023-12;2023-2024;CLI-0345;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-005;Désembouage circuit chauffage;1;675.48;Accepté;2024-01-05;11;1
DEV-00779;2023-12-18;2023-12;2023-2024;CLI-0296;Professionnel;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;5487.17;Accepté;2024-01-03;6;2
DEV-00780;2023-12-18;2023-12;2023-2024;CLI-0091;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-003;Dépannage électrique urgence;1;284.5;Accepté;2024-01-27;1;3
DEV-00781;2023-12-19;2023-12;2023-2024;CLI-0264;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-005;Désembouage circuit chauffage;1;718.22;Sans réponse;2024-01-18;7;4
DEV-00782;2023-12-19;2023-12;2023-2024;CLI-0156;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;797.79;Sans réponse;2023-12-27;5;1
DEV-00783;2023-12-19;2023-12;2023-2024;CLI-0081;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2722.33;Accepté;2024-01-12;;0
DEV-00784;2023-12-20;2023-12;2023-2024;CLI-0134;Particulier;Toulouse;Julien Fabre;Chauffage;CH-002;Entretien annuel chaudière;1;144.75;Sans réponse;2024-01-11;;0
DEV-00785;2023-12-20;2023-12;2023-2024;CLI-0109;Professionnel;Toulouse;Julien Fabre;Électricité;EL-001;Mise aux normes tableau électrique;3;9014.58;Accepté;2024-01-09;7;2
DEV-00786;2023-12-20;2023-12;2023-2024;CLI-0100;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-002;Recherche de fuite + réparation;1;407.26;Sans réponse;2024-01-20;12;2
DEV-00787;2023-12-20;2023-12;2023-2024;CLI-0316;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-001;Rénovation salle de bain complète;1;10246.42;Sans réponse;2024-01-05;7;1
DEV-00788;2023-12-20;2023-12;2023-2024;CLI-0211;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-002;Entretien annuel chaudière;1;161.22;Sans réponse;2024-01-08;6;1
DEV-00789;2023-12-22;2023-12;2023-2024;CLI-0276;Professionnel;Bordeaux;Karim Belkacem;Électricité;EL-001;Mise aux normes tableau électrique;1;2638.67;Sans réponse;2024-01-30;1;2
DEV-00790;2023-12-25;2023-12;2023-2024;CLI-0157;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;282.54;Sans réponse;2024-01-06;;0
DEV-00791;2023-12-25;2023-12;2023-2024;CLI-0035;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-002;Entretien annuel chaudière;2;312.04;Accepté;2024-01-22;4;3
DEV-00792;2023-12-26;2023-12;2023-2024;CLI-0264;Particulier;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;2;455.63;Refusé;2024-01-25;7;1
DEV-00793;2023-12-26;2023-12;2023-2024;CLI-0271;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2445.03;Sans réponse;2024-01-01;4;1
DEV-00794;2023-12-27;2023-12;2023-2024;CLI-0275;Professionnel;Bordeaux;Sophie Marchand;Dépannage;DP-003;Dépannage électrique urgence;1;463.81;Accepté;2024-01-26;;0
DEV-00795;2023-12-27;2023-12;2023-2024;CLI-0190;Particulier;Toulouse;Nadia Cherif;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;15003.11;Accepté;2024-01-08;1;1
DEV-00796;2023-12-27;2023-12;2023-2024;CLI-0238;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-003;Rénovation électrique complète;1;10681.36;Sans réponse;2024-01-18;6;2
DEV-00797;2023-12-28;2023-12;2023-2024;CLI-0318;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;10097.76;Accepté;2024-01-13;15;1
DEV-00798;2023-12-28;2023-12;2023-2024;CLI-0160;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;300.57;Sans réponse;2024-01-10;10;1
DEV-00799;2023-12-29;2023-12;2023-2024;CLI-0322;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;279.84;Refusé;2024-01-05;12;0
DEV-00800;2023-12-29;2023-12;2023-2024;CLI-0219;Particulier;Toulouse;Nadia Cherif;Dépannage;DP-003;Dépannage électrique urgence;1;349.23;Accepté;2024-01-24;1;1
DEV-00801;2024-01-01;2024-01;2023-2024;CLI-0184;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-002;Remplacement baignoire par douche;1;3874.51;Accepté;2024-01-19;2;2
DEV-00802;2024-01-02;2024-01;2023-2024;CLI-0079;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;656.49;Accepté;2024-01-25;2;2
DEV-00803;2024-01-02;2024-01;2023-2024;CLI-0357;Syndic;Toulouse;Julien Fabre;Chauffage;CH-001;Installation chaudière gaz condensation;3;35295.69;Refusé;2024-01-18;9;1
DEV-00804;2024-01-02;2024-01;2023-2024;CLI-0256;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-004;Éclairage LED locaux professionnels;1;3520.46;Accepté;2024-01-23;7;2
DEV-00805;2024-01-02;2024-01;2023-2024;CLI-0025;Syndic;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;7320.63;Sans réponse;2024-01-20;10;1
DEV-00806;2024-01-03;2024-01;2023-2024;CLI-0067;Professionnel;Bordeaux;Sophie Marchand;Plomberie;PR-002;Recherche de fuite + réparation;3;2231.44;Refusé;2024-01-10;4;1
DEV-00807;2024-01-03;2024-01;2023-2024;CLI-0258;Professionnel;Bordeaux;Sophie Marchand;Dépannage;DP-003;Dépannage électrique urgence;1;525.38;Accepté;2024-01-28;15;2
DEV-00808;2024-01-03;2024-01;2023-2024;CLI-0268;Particulier;Toulouse;Nadia Cherif;Salle de bain;SB-001;Rénovation salle de bain complète;1;11143.36;Accepté;2024-01-29;10;2
DEV-00809;2024-01-04;2024-01;2023-2024;CLI-0146;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-003;Dépannage électrique urgence;2;701.42;Accepté;2024-01-11;10;0
DEV-00810;2024-01-04;2024-01;2023-2024;CLI-0360;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;4334.76;Refusé;2024-02-03;13;1
DEV-00811;2024-01-04;2024-01;2023-2024;CLI-0336;Particulier;Toulouse;Nadia Cherif;Plomberie;PR-002;Recherche de fuite + réparation;1;410.52;Refusé;2024-01-20;13;1
